metrica,valor,unidade,nota
total_ocorrencias_conflito_campo,50950,ocorrencias,QUADRO 1
violencia_contra_ocupacao_e_posse,31013,ocorrencias,QUADRO 1
ocupacoes,8944,ocorrencias,QUADRO 1
acampamentos,1152,ocorrencias,QUADRO 1
conflitos_agua,3485,ocorrencias,QUADRO 1
trabalho_escravo,4332,ocorrencias,QUADRO 1
trabalhadores_em_casos_trabalho_escravo_ou_analogo,191732,pessoas,Narrativa Atlas
conflitos_terra_narrativa,41086,ocorrencias,Graficos 2 e 3
conflitos_agua_narrativa,3483,ocorrencias,Graficos 2 e 3
trabalho_escravo_narrativa,4332,ocorrencias,Graficos 2 e 3
