ano,ocorrencias_conflitos_campo,localidades,conflitos_terra,conflitos_agua,trabalho_escravo,soma,violencia_pessoa
1985,404,223,388,10,5,403,302
1986,487,200,452,10,26,488,369
1987,828,309,778,19,31,828,608
1988,674,251,649,8,17,674,388
1989,601,218,582,1,18,601,409
1990,596,202,569,4,25,598,408
1991,661,180,632,3,26,661,439
1992,529,150,507,3,19,529,364
1993,654,188,625,0,29,654,358
1994,775,203,738,4,33,775,410
1995,657,176,626,8,23,657,320
1996,973,302,944,7,22,973,320
1997,1141,341,1119,5,17,1141,257
1998,1492,458,1466,10,16,1492,426
1999,1545,441,1524,6,15,1545,500
2000,1137,390,1114,2,21,1137,389
2001,776,322,725,2,49,776,362
2002,976,434,813,12,151,976,489
2003,1750,721,1493,25,232,1750,501
2004,1813,686,1514,62,237,1813,652
2005,1838,732,1488,74,276,1838,543
2006,1640,608,1329,47,264,1640,480
2007,1500,594,1138,94,268,1500,386
2008,1176,478,846,48,282,1176,229
2009,1232,444,935,57,240,1232,310
2010,1231,474,934,92,205,1231,268
2011,1411,591,1109,72,230,1411,444
2012,1399,465,1145,84,170,1399,418
2013,1359,413,1104,112,143,1359,337
2014,1388,485,1119,137,132,1388,329
2015,1373,444,1130,163,80,1373,275
2016,1636,472,1385,183,68,1636,411
2017,1524,415,1256,201,67,1524,470
2018,1562,434,1195,281,86,1562,255
2019,1962,607,1364,509,89,1962,298
2020,2127,498,1669,363,95,2127,215
2021,1838,444,1356,312,170,1838,195
2022,2036,543,1602,228,206,2036,284
2023,2200,587,1724,225,251,2200,263
